Country,CO2 emissions ,,% change since 1990,,CO2 emissions per capita,,CO2 emissions per km2
,mio. tonnes ,,%,,tonnes,,tonnes
United Kingdom of Great Britain and Northern Ireland,464.04,,-21.5492,,7.346418,,1913.59
United Republic of Tanzania,7.3,,207.7345,,0.154935,,7.725215
United States of America,  5 583.38,,9.465021,,17.87308,,579.8449
Uruguay,7.77,,94.67121,,2.296189,,44.11656
Uzbekistan,114.86,,...,,4.079117,,256.7309
Vanuatu,0.14,,105.165,,0.591212,,11.73189
Venezuela (Bolivarian Republic of),188.82,,54.5627,,6.416334,,207.0254
Viet Nam,173.21,,709.0971,,1.939174,,523.3632
Wallis and Futuna Islands,0.03,,...,,1.910781,,180.9859
Yemen,22.3,,-843.279,,0.919969,,42.2287
Zambia,3.05,,24.58809,,0.212451,,4.048965
Zimbabwe,9.86,,-36.4,,0.6917,,25.23461
