,Country,year,Average Temp in C
707,Saint Vincent And The Grenadines,1998,28.0
708,Saint Vincent And The Grenadines,2005,28.0
709,Senegal,1892,28.0
710,Senegal,1893,28.0
711,Senegal,1896,28.0
712,Senegal,1901,28.0
713,Senegal,1902,28.0
714,Senegal,1919,28.0
715,Senegal,1925,28.0
716,Senegal,1927,28.0
717,Senegal,1936,28.0
718,Senegal,1940,28.0
719,Senegal,1942,28.0
720,Senegal,1946,28.0
721,Senegal,1955,28.0
722,Senegal,1960,28.0
723,Senegal,1961,28.0
724,Senegal,1964,28.0
725,Senegal,1982,28.0
726,Senegal,1986,28.0
727,Sudan,2005,28.0
728,United Arab Emirates,1915,28.0
729,United Arab Emirates,1941,28.0
730,United Arab Emirates,1944,28.0
731,United Arab Emirates,1947,28.0
732,United Arab Emirates,1953,28.0
733,United Arab Emirates,1954,28.0
734,United Arab Emirates,1958,28.0
735,United Arab Emirates,1995,28.0
736,Aruba,1889,27.9
737,Aruba,1902,27.9
738,Aruba,1903,27.9
739,Aruba,1919,27.9
740,Aruba,1924,27.9
741,Aruba,1936,27.9
742,Aruba,1956,27.9
743,Aruba,1971,27.9
744,Aruba,1975,27.9
745,Aruba,1985,27.9
746,Benin,1973,27.9
747,Benin,2004,27.9
748,"Bonaire, Saint Eustatius And Saba",1969,27.9
749,"Bonaire, Saint Eustatius And Saba",1983,27.9
750,"Bonaire, Saint Eustatius And Saba",1997,27.9
751,"Bonaire, Saint Eustatius And Saba",2001,27.9
752,Burkina Faso,1897,27.9
753,Burkina Faso,1902,27.9
754,Burkina Faso,1918,27.9
755,Burkina Faso,1954,27.9
756,Burkina Faso,1965,27.9
757,Burkina Faso,1967,27.9
758,Burkina Faso,1975,27.9
759,Cambodia,2010,27.9
760,Chad,1914,27.9
761,Chad,1942,27.9
762,Chad,1969,27.9
763,Chad,1998,27.9
764,Chad,2003,27.9
765,Chad,2007,27.9
766,Comoros,2013,27.9
767,Curaçao,1953,27.9
768,Curaçao,1977,27.9
769,Curaçao,1978,27.9
770,Curaçao,1979,27.9
771,Curaçao,1992,27.9
772,Curaçao,1994,27.9
773,Curaçao,2004,27.9
774,Curaçao,2008,27.9
775,Eritrea,2012,27.9
776,Gambia,1941,27.9
777,Gambia,1963,27.9
778,Gambia,1984,27.9
779,Gambia,1994,27.9
780,Ghana,2010,27.9
781,Grenada,2005,27.9
782,Guinea Bissau,2010,27.9
783,Guinea Bissau,2013,27.9
784,Kingman Reef,1995,27.9
785,Kingman Reef,1997,27.9
786,Mali,1903,27.9
787,Mali,1918,27.9
788,Mali,1950,27.9
789,Mali,1976,27.9
790,Mauritania,1899,27.9
791,Mauritania,1931,27.9
792,Mauritania,1964,27.9
793,Mauritania,1985,27.9
794,Mauritania,1992,27.9
795,Mauritania,1994,27.9
796,Mauritania,1999,27.9
797,Niger,1932,27.9
798,Niger,1933,27.9
799,Niger,1963,27.9
800,Niger,1973,27.9
801,Niger,1979,27.9
802,Niger,1984,27.9
803,Niger,1986,27.9
804,Niger,1991,27.9
805,Niger,1995,27.9
806,Niger,2008,27.9
807,Nigeria,2009,27.9
808,Oman,2000,27.9
809,Palau,2004,27.9
810,Palmyra Atoll,1995,27.9
811,Palmyra Atoll,1997,27.9
812,Palmyra Atoll,2010,27.9
813,Qatar,2008,27.9
814,Senegal,1910,27.9
815,Senegal,1914,27.9
816,Senegal,1921,27.9
817,Senegal,1924,27.9
818,Senegal,1939,27.9
819,Senegal,1959,27.9
820,Somalia,2007,27.9
821,Somalia,2009,27.9
822,Somalia,2011,27.9
823,Somalia,2012,27.9
824,Sri Lanka,2010,27.9
825,Sri Lanka,2012,27.9
826,Sudan,2002,27.9
827,Sudan,2003,27.9
828,Sudan,2004,27.9
829,Sudan,2012,27.9
830,Togo,1987,27.9
831,Togo,2007,27.9
832,Turks And Caicas Islands,1997,27.9
833,United Arab Emirates,1942,27.9
834,United Arab Emirates,1951,27.9
835,United Arab Emirates,1962,27.9
836,United Arab Emirates,1966,27.9
837,United Arab Emirates,1986,27.9
838,Anguilla,2010,27.8
839,Aruba,1885,27.8
840,Aruba,1891,27.8
841,Aruba,1897,27.8
842,Aruba,1901,27.8
843,Aruba,1905,27.8
844,Aruba,1914,27.8
845,Aruba,1927,27.8
846,Aruba,1929,27.8
847,Aruba,1930,27.8
848,Aruba,1945,27.8
849,Aruba,1949,27.8
850,Aruba,1976,27.8
851,Barbados,2010,27.8
852,Benin,1990,27.8
853,Benin,2002,27.8
854,"Bonaire, Saint Eustatius And Saba",1941,27.8
855,"Bonaire, Saint Eustatius And Saba",1942,27.8
856,"Bonaire, Saint Eustatius And Saba",1980,27.8
857,"Bonaire, Saint Eustatius And Saba",1981,27.8
